Trial_order,List,Block,Item,expSet,grammatically_correct,condition,WP1_match,WP2_tense,SocStat_context,SocStat_contextVers,SocStat_context_clarification,Context_picture_filename,Context_audio_filename,Group,Sentence,Target_sent_audio
1,1,1,2,WP2,no,h,x,past,high,1,female1_high,VP1c.jpg,,A,Der Skinhead z&uuml;chtigen den Str&auml;fling.,2h_f1.mp3
2,1,1,1,SocStat,yes,a,x,x,high,1,female1_high,VP1c.jpg,,A,Ich merke&#44; dass die Gegend wegen des bunten Festes abgesperrt ist.,1a_f1.mp3
3,1,1,3,WP1,no,e,4,x,high,1,female1_high,VP1c.jpg,,A,Ich saniere bald meine Ohren.,3e_f1.mp3
4,1,1,3,WP2,no,h,x,past,high,1,female1_high,VP1c.jpg,,A,Der Sportlehrer knechten den Wettl&auml;ufer.,3h_f1.mp3
5,1,1,2,SocStat,yes,a,x,x,high,1,female1_high,VP1c.jpg,,A,Ich wei&szlig;&#44; dass der Aufenthalt wegen der schlechten Lage preiswert ist.,2a_f1.mp3
6,1,1,4,WP1,no,e,3,x,high,1,female1_high,VP1c.jpg,,A,Ich pierce bald meine Wohnung.,4e_f1.mp3
7,1,1,3,SocStat,yes,a,x,x,high,1,female1_high,VP1c.jpg,,A,Ich nehme an&#44; dass die Absperrung wegen der langen Konferenz bestehen bleibt.,3a_f1.mp3
8,1,1,9,WP2,yes,i,x,past,high,1,female1_high,VP1c.jpg,,A,Der Reiseleiter beguckte den Abenteurer.,9i_f1.mp3
9,1,1,4,SocStat,yes,a,x,x,high,1,female1_high,VP1c.jpg,,A,Ich nehme an&#44; dass das Verfahren wegen der harten Anklage aufgenommen wurde.,4a_f1.mp3
10,1,1,2,WP1,no,e,1,x,high,1,female1_high,VP1c.jpg,,A,Ich falte gleich meine Schuhe.,2e_f1.mp3
11,1,1,33,SocStat,yes,a,x,x,high,1,female1_high,VP1c.jpg,,A,Ich merke&#44; dass das Rezept trotz der richtigen Angabe misslingt.,33a_f1.mp3
